customer_id,total_count,total_amount,avg_amount,max_amount,min_amount
261,3,783,261,261,261
238,3,714,238,238,238
23,4,92,23,23,23
215,6,1290,215,215,215
46,3,138,46,46,46
192,7,1344,192,192,192
69,6,414,69,69,69
92,5,460,92,92,92
115,2,230,115,115,115
138,2,276,138,138,138
161,6,966,161,161,161
284,4,1136,284,284,284
29,3,87,29,29,29
278,1,278,278,278,278
175,1,175,175,175,175
169,1,169,169,169,169
221,1,221,221,221,221
75,5,375,75,75,75
201,3,603,201,201,201
132,2,264,132,132,132
15,5,75,15,15,15
9,3,27,9,9,9
181,2,362,181,181,181
158,4,632,158,158,158
109,2,218,109,109,109
89,4,356,89,89,89
244,2,488,244,244,244
195,3,585,195,195,195
252,7,1764,252,252,252
3,1,3,3,3,3
152,7,1064,152,152,152
146,3,438,146,146,146
52,3,156,52,52,52
295,2,590,295,295,295
95,7,665,95,95,95
72,2,144,72,72,72
189,3,567,189,189,189
118,6,708,118,118,118
258,2,516,258,258,258
264,6,1584,264,264,264
281,2,562,281,281,281
212,3,636,212,212,212
235,2,470,235,235,235
172,5,860,172,172,172
66,2,132,66,66,66
78,4,312,78,78,78
218,6,1308,218,218,218
229,6,1374,229,229,229
32,1,32,32,32,32
275,3,825,275,275,275
126,6,756,126,126,126
26,3,78,26,26,26
272,2,544,272,272,272
178,3,534,178,178,178
12,3,36,12,12,12
35,6,210,35,35,35
129,3,387,129,129,129
106,4,424,106,106,106
155,2,310,155,155,155
86,4,344,86,86,86
135,3,405,135,135,135
63,8,504,63,63,63
112,4,448,112,112,112
255,3,765,255,255,255
6,4,24,6,6,6
55,2,110,55,55,55
43,2,86,43,43,43
292,3,876,292,292,292
241,1,241,241,241,241
98,3,294,98,98,98
49,4,196,49,49,49
298,1,298,298,298,298
198,6,1188,198,198,198
149,2,298,149,149,149
190,6,1140,190,190,190
213,3,639,213,213,213
144,7,1008,144,144,144
167,2,334,167,167,167
236,4,944,236,236,236
259,6,1554,259,259,259
113,7,791,113,113,113
184,4,736,184,184,184
267,4,1068,267,267,267
230,2,460,230,230,230
67,2,134,67,67,67
21,2,42,21,21,21
27,1,27,27,27,27
121,2,242,121,121,121
127,4,508,127,127,127
173,7,1211,173,173,173
107,2,214,107,107,107
273,5,1365,273,273,273
250,3,750,250,250,250
58,6,348,58,58,58
156,2,312,156,156,156
81,4,324,81,81,81
130,4,520,130,130,130
38,5,190,38,38,38
101,7,707,101,101,101
207,3,621,207,207,207
256,2,512,256,256,256
44,4,176,44,44,44
7,2,14,7,7,7
293,3,879,293,293,293
299,2,598,299,299,299
150,4,600,150,150,150
50,1,50,50,50,50
1,8,8,1,1,1
47,6,282,47,47,47
239,5,1195,239,239,239
141,4,564,141,141,141
70,2,140,70,70,70
216,3,648,216,216,216
93,2,186,93,93,93
187,5,935,187,187,187
164,3,492,164,164,164
287,1,287,287,287,287
233,8,1864,233,233,233
210,2,420,210,210,210
18,1,18,18,18,18
